reference	hypA	hypB	annotation
c' est à lui même	êtes à lui même	c' est euh à lui-même	0
c' est à lui même	c' est euh à lui-même	êtes à lui même	1
non mais parlons des recettes nouvelles que	mais parlons des recettes nouvelles que	euh non mais parlons des recettes nouvelles que	0
non mais parlons des recettes nouvelles que	euh non mais parlons des recettes nouvelles que	mais parlons des recettes nouvelles que	1
le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement large	le le je ire le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	le je e dir le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	1
le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement large	le je e dir le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	le le je ire le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	0
mais vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	mais vous dites quil nous aut répondu mais nous on leur a pas parlé	mais vous dites qu'il nous an répondu mais nous on leura pas parlé	1
mais vous dites qu' ils nous ont répondu mais nous on leur a pas parlé	mais vous dites qu'il nous an répondu mais nous on leura pas parlé	mais vous dites quil nous aut répondu mais nous on leur a pas parlé	0
entre monsieur lakshmi mittal	monsieur lakshmi mittal	entre monsieur lachemi mittal	0
entre monsieur lakshmi mittal	entre monsieur lachemi mittal	monsieur lakshmi mittal	1
dans la salle plus de deux mille militants conquis et des proches aussi après l' avoir souvent critiquée	la salle plus de deux mille militants conquis et des proches aussi après l' avoir souvent critiqué	dans la salle plus de deux milles militants complies et des proches aussi après l' avoir souvent critiqué	1
dans la salle plus de deux mille militants conquis et des proches aussi après l' avoir souvent critiquée	dans la salle plus de deux milles militants complies et des proches aussi après l' avoir souvent critiqué	la salle plus de deux mille militants conquis et des proches aussi après l' avoir souvent critiqué	0
c' est la première fois que que l' ump est dans l' opposition depuis sa création	et c' est la première fois que que l' ump est dans l' opposition depuis sa création	c' est c' est la première fois que que l' ump est dans l' opposition depuis sa création	1
c' est la première fois que que l' ump est dans l' opposition depuis sa création	c' est c' est la première fois que que l' ump est dans l' opposition depuis sa création	et c' est la première fois que que l' ump est dans l' opposition depuis sa création	0
sur un certain nombre de labels ofg que vous connaissez mais également le label entreprise du patrimoine vivant	sur un certain nombre de label ou que vous connaissez mais également le label entreprise du patrimoine vivant	euh sur un certain nombre de labels ofg que vous connaissez mais également euh le label entreprise du patrimoine vivant	0
sur un certain nombre de labels ofg que vous connaissez mais également le label entreprise du patrimoine vivant	euh sur un certain nombre de labels ofg que vous connaissez mais également euh le label entreprise du patrimoine vivant	sur un certain nombre de label ou que vous connaissez mais également le label entreprise du patrimoine vivant	1
là nous baissons cela à cent mille euros c' est déjà quand même assez significatif cent mille euros	là nous baissons cela à cent milles euros ce qui est déjà quand même assez significatif cent milles euros	là nous baissons cela cent milles euros ce qui est déjà comme assez significatif cent mille euros	1
là nous baissons cela à cent mille euros c' est déjà quand même assez significatif cent mille euros	là nous baissons cela cent milles euros ce qui est déjà comme assez significatif cent mille euros	là nous baissons cela à cent milles euros ce qui est déjà quand même assez significatif cent milles euros	0
se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va tomber la	se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va faire tomber la	se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va qa tomber la	0
